method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,infinite_interval_rate
oracle_wcp,S1,20260749,0.9396413472079054,0.8778,1.8792826944158108,2.551008844260483,0.957,0.894,0.855,0.865,0.818,213.2004951582915,10.975839522280706,0.0
split_cp,S1,20260750,0.7521331272082782,0.7894,1.5042662544165566,2.835468459213164,0.905,0.822,0.766,0.726,0.728,nan,nan,nan
oracle_wcp,S1,20260750,0.9592806772131529,0.8854,1.9185613544263058,2.596946725891434,0.967,0.917,0.869,0.836,0.838,210.49679740954159,10.976956279856406,0.0
split_cp,S1,20260751,0.7586219953616548,0.8,1.5172439907233095,2.7648095548155673,0.91,0.806,0.8,0.762,0.722,nan,nan,nan
oracle_wcp,S1,20260751,0.9660454961083061,0.892,1.9320909922166123,2.5543030848264423,0.962,0.901,0.887,0.869,0.841,207.97438169641313,11.02175229582492,0.0
split_cp,S1,20260752,0.7933011552262752,0.8022,1.58660231045255,2.8508333546067366,0.917,0.83,0.785,0.775,0.704,nan,nan,nan
oracle_wcp,S1,20260752,1.1056834403896916,0.921,2.211366880779383,2.668009225673091,0.978,0.938,0.924,0.897,0.868,206.5642079287706,10.980529091940141,0.0
split_cp,S1,20260753,0.8028050018126434,0.809,1.605610003625287,2.738943147985424,0.915,0.84,0.788,0.765,0.737,nan,nan,nan
oracle_wcp,S1,20260753,1.0681049075046665,0.9164,2.136209815009333,2.577595037251949,0.978,0.934,0.918,0.884,0.868,211.79307914498295,10.937033836262929,0.0
split_cp,S1,20260754,0.7957024521848848,0.8042,1.5914049043697693,2.7557430949847292,0.92,0.828,0.778,0.757,0.738,nan,nan,nan
oracle_wcp,S1,20260754,0.9112898031831268,0.8634,1.8225796063662536,2.60051004562951,0.95,0.873,0.844,0.831,0.819,189.19954768223616,11.016681379000387,0.0
split_cp,S1,20260755,0.8283051018305333,0.8264,1.656610203661067,2.692014238074139,0.924,0.852,0.804,0.791,0.761,nan,nan,nan
oracle_wcp,S1,20260755,1.1114190487861897,0.9292,2.2228380975723794,2.588415724875687,0.971,0.947,0.919,0.918,0.891,205.8807422254628,10.898398402173793,0.0
split_cp,S1,20260756,0.7096209552750214,0.755,1.4192419105500427,2.903589327712205,0.887,0.753,0.743,0.689,0.703,nan,nan,nan
oracle_wcp,S1,20260756,0.9746882096073032,0.8952,1.9493764192146064,2.5295000507930223,0.965,0.895,0.899,0.856,0.861,190.31796658620718,10.972561709889655,0.0
split_cp,S1,20260757,0.8128443823042986,0.8184,1.6256887646085971,2.6896855309044403,0.914,0.831,0.807,0.78,0.76,nan,nan,nan
oracle_wcp,S1,20260757,1.0756116259319803,0.9248,2.1512232518639607,2.5510173416755086,0.976,0.936,0.926,0.903,0.883,211.59342142906667,10.914657942469516,0.0
split_cp,S1,20260758,0.8480131848163822,0.8346,1.6960263696327647,2.6403278084141997,0.927,0.851,0.818,0.798,0.779,nan,nan,nan
oracle_wcp,S1,20260758,1.1635109267989587,0.9438,2.3270218535979175,2.617922846647943,0.985,0.964,0.936,0.927,0.907,203.53054044985774,10.645239912881268,0.0
split_cp,S1,20260759,0.8129538157435046,0.8188,1.6259076314870093,2.6657348621977426,0.907,0.835,0.794,0.767,0.791,nan,nan,nan
oracle_wcp,S1,20260759,0.9765903206354498,0.8912,1.9531806412708996,2.5187833938755437,0.958,0.91,0.869,0.85,0.869,214.88636973817282,10.970287180395074,0.0
split_cp,S1,20260760,0.7521812538310946,0.7982,1.5043625076621894,2.7916336628892955,0.891,0.836,0.782,0.743,0.739,nan,nan,nan
oracle_wcp,S1,20260760,0.9774393379108651,0.894,1.9548786758217302,2.5705313337640385,0.961,0.918,0.891,0.846,0.854,203.63255292400092,10.92589164845158,0.0
split_cp,S1,20260761,0.7929570955359325,0.815,1.5859141910718648,2.6718181404484143,0.92,0.838,0.799,0.777,0.741,nan,nan,nan
oracle_wcp,S1,20260761,0.9011271444122197,0.8706,1.8022542888244393,2.5504480466880466,0.953,0.886,0.842,0.846,0.826,217.50041342506833,10.864283076083668,0.0
split_cp,S1,20260762,0.7849048618263246,0.8062,1.5698097236526494,2.739124306552704,0.904,0.829,0.785,0.786,0.727,nan,nan,nan
oracle_wcp,S1,20260762,1.068339006788712,0.9186,2.136678013577424,2.561737849356488,0.971,0.936,0.923,0.902,0.861,209.03597246907057,11.003263170201311,0.0
split_cp,S1,20260763,0.7524352087855809,0.7926,1.504870417571162,2.835630038546599,0.902,0.837,0.756,0.75,0.718,nan,nan,nan
oracle_wcp,S1,20260763,0.9735961446927729,0.888,1.9471922893855458,2.5803708556131753,0.956,0.921,0.867,0.853,0.843,205.45962882603393,10.90122083834427,0.0
split_cp,S1,20260764,0.7668919591332188,0.7828,1.5337839182664375,2.8526115907295604,0.893,0.794,0.76,0.723,0.744,nan,nan,nan
oracle_wcp,S1,20260764,0.9152575434483435,0.8586,1.830515086896687,2.6083281189550784,0.939,0.87,0.839,0.815,0.83,200.34251176074318,10.849727470786624,0.0
split_cp,S1,20260765,0.8220997313012541,0.8234,1.644199462602508,2.740046145821031,0.926,0.843,0.802,0.785,0.761,nan,nan,nan
oracle_wcp,S1,20260765,1.0405953813092639,0.911,2.0811907626185278,2.593706236465292,0.968,0.923,0.892,0.893,0.879,213.4760356185932,10.668331964628244,0.0
split_cp,S1,20260766,0.820280876677381,0.8228,1.6405617533547623,2.688322232199155,0.939,0.837,0.792,0.782,0.764,nan,nan,nan
oracle_wcp,S1,20260766,1.0966931227571834,0.9272,2.193386245514367,2.5768054022795663,0.986,0.936,0.915,0.906,0.893,218.7582470003635,11.022061299250877,0.0
split_cp,S1,20260767,0.8110280484476671,0.813,1.6220560968953346,2.7557730782373646,0.91,0.847,0.805,0.773,0.73,nan,nan,nan
oracle_wcp,S1,20260767,1.1270640958830176,0.9306,2.254128191766035,2.6098685000293558,0.974,0.946,0.932,0.901,0.9,196.50109476710722,10.929693679223448,0.0
split_cp,S1,20260768,0.8048244747824875,0.8156,1.6096489495649748,2.6959321370792795,0.93,0.842,0.798,0.774,0.734,nan,nan,nan
oracle_wcp,S1,20260768,1.1015102086365793,0.9282,2.2030204172731587,2.5738392366504397,0.986,0.944,0.928,0.905,0.878,206.19705448144407,10.982457639659659,0.0
split_cp,S1,20260769,0.7893018757454036,0.8052,1.578603751490807,2.7459661330888565,0.916,0.834,0.778,0.759,0.739,nan,nan,nan
oracle_wcp,S1,20260769,1.0245966440692134,0.9104,2.0491932881384267,2.5487262085829374,0.974,0.93,0.908,0.89,0.85,207.75249246503466,11.013490134180831,0.0
split_cp,S1,20260770,0.8298540697977133,0.8308,1.6597081395954265,2.650632102872699,0.933,0.849,0.809,0.805,0.758,nan,nan,nan
oracle_wcp,S1,20260770,1.0783463422811475,0.9188,2.156692684562295,2.5482480927802644,0.974,0.932,0.909,0.901,0.878,215.24857877445268,10.98263417142293,0.0
split_cp,S1,20260771,0.8191170359564808,0.8232,1.6382340719129616,2.7132687706787695,0.931,0.846,0.813,0.767,0.759,nan,nan,nan
oracle_wcp,S1,20260771,1.094604627106283,0.9228,2.189209254212566,2.605121107886059,0.978,0.938,0.922,0.895,0.881,204.08514989261383,10.942036844845175,0.0
split_cp,S1,20260772,0.8348060972683521,0.8408,1.6696121945367037,2.623865969187604,0.938,0.862,0.81,0.817,0.777,nan,nan,nan
oracle_wcp,S1,20260772,1.0397758641749464,0.9176,2.079551728349893,2.5488970776313233,0.975,0.941,0.903,0.899,0.87,194.57752788407234,10.939308143711813,0.0
split_cp,S1,20260773,0.8533824029144721,0.8404,1.7067648058289444,2.624984174512444,0.925,0.869,0.836,0.8,0.772,nan,nan,nan
oracle_wcp,S1,20260773,1.0249236246616975,0.9052,2.049847249323395,2.528044577136464,0.966,0.92,0.902,0.885,0.853,195.56153018506612,10.674291613036559,0.0
split_cp,S1,20260774,0.864464404994575,0.8476,1.72892880998915,2.5898477989227473,0.934,0.885,0.828,0.796,0.795,nan,nan,nan
oracle_wcp,S1,20260774,0.9735884581104263,0.8942,1.9471769162208525,2.523551411582411,0.957,0.917,0.88,0.86,0.857,204.36529227026605,11.006988440131051,0.0
split_cp,S1,20260775,0.774850706650049,0.8032,1.5497014133000981,2.8255543893054273,0.919,0.828,0.799,0.752,0.718,nan,nan,nan
oracle_wcp,S1,20260775,0.8896262353431328,0.8578,1.7792524706862656,2.66347060676816,0.951,0.896,0.853,0.801,0.788,206.2491032996015,10.733473122350807,0.0
split_cp,S1,20260776,0.8187912335910112,0.8184,1.6375824671820225,2.767862582705535,0.933,0.839,0.808,0.759,0.753,nan,nan,nan
